longitude,latitude,elevation,land_type,tree_density,tree_height,slope_deg
128.3934,38.02769,521.69037,1,3,2,2
128.3937,38.02769,530.53271,1,2,2,0
128.39385,38.02769,529.6087,1,2,2,0
128.394,38.02769,528.05475,1,2,2,0
128.39415,38.02769,526.45953,1,2,2,0
128.3943,38.02769,522.4787,1,2,2,2
128.39445,38.02769,520.85217,1,2,2,1
128.3946,38.02769,522.84363,1,2,2,1
128.39475,38.02769,525.42133,1,2,2,1
128.3949,38.02769,526.76019,1,2,2,0
128.39505,38.02769,526.05072,1,2,2,1
128.3952,38.02769,522.98114,1,2,2,1
128.39535,38.02769,519.60645,1,2,2,1
128.39551,38.02769,517.94922,1,2,2,0
128.39566,38.02769,517.18762,1,2,2,0
128.39581,38.02769,516.63873,1,2,2,0
128.39896,38.02769,548.04498,1,2,2,2
128.39911,38.02769,552.88043,1,2,2,2
128.39926,38.02769,557.51855,1,2,2,2
128.39941,38.02769,564.21759,1,2,2,3
128.39956,38.02769,572.08221,1,2,2,3
128.39971,38.02769,581.52094,1,2,2,3
128.39986,38.02769,591.82611,1,2,2,3
128.40001,38.02769,601.47961,1,2,2,3
128.40227,38.02769,698.94525,1,3,2,0
128.40242,38.02769,700.03998,1,3,2,1
128.40257,38.02769,702.69397,1,3,2,2
128.40272,38.02769,707.37231,1,3,2,2
128.40287,38.02769,715.39301,1,3,2,1
128.40302,38.02769,717.72852,1,3,2,0
128.40317,38.02769,717.41443,1,3,2,0
128.40332,38.02769,723.32208,1,3,2,4
128.40347,38.02769,734.58606,1,3,2,4
128.40362,38.02769,746.69159,1,3,2,4
128.40377,38.02769,756.57117,1,3,2,3
128.40392,38.02769,764.23065,1,3,2,2
128.40407,38.02769,769.66132,1,3,2,2
128.40422,38.02769,762.78522,1,3,2,3
128.40437,38.02769,752.55267,1,3,2,3
128.40452,38.02769,743.54114,1,3,2,3
128.40467,38.02769,734.75372,1,3,2,3
128.40482,38.02769,726.15869,1,3,2,3
128.40497,38.02769,718.47327,1,3,2,3
128.40512,38.02769,712.41248,1,3,2,2
128.40527,38.02769,708.3833,1,3,2,1
128.40542,38.02769,705.91345,1,3,2,1
128.40557,38.02769,707.93158,1,3,2,3
128.40572,38.02769,715.9292,1,3,2,3
128.40587,38.02769,726.61713,1,3,2,3
128.40602,38.02769,737.86346,1,3,2,3
128.40617,38.02769,748.06055,1,3,2,3
128.40632,38.02769,755.81219,1,3,2,3
128.40647,38.02769,759.9826,1,3,2,0
128.40662,38.02769,759.34003,1,3,2,0
128.40677,38.02769,759.1828,1,2,2,0
128.40692,38.02769,763.73511,1,2,2,3
128.40707,38.02769,772.11237,1,2,2,3
128.40722,38.02769,781.84723,1,2,2,3
128.40737,38.02769,790.4436,1,2,2,3
128.40752,38.02769,795.8858,1,2,2,2
128.40903,38.02769,739.59894,1,3,2,3
128.40918,38.02769,732.90851,1,3,2,3
128.40933,38.02769,730.24329,1,3,2,0
128.40948,38.02769,730.06671,1,3,2,0
128.40963,38.02769,735.68555,1,3,2,2
128.40978,38.02769,745.7262,1,3,2,4
128.40993,38.02769,757.98499,1,3,2,4
128.41008,38.02769,770.87372,1,3,2,4
128.41023,38.02769,783.18146,1,3,2,4
128.41038,38.02769,796.06787,1,3,2,4
128.41053,38.02769,808.83496,1,3,2,4
128.41158,38.02769,867.20709,1,3,2,3
128.41173,38.02769,873.93677,1,3,2,4
128.41188,38.02769,886.14081,1,3,2,4
128.41203,38.02769,903.20563,1,3,2,4
128.41218,38.02769,917.10999,1,3,2,4
128.41729,38.02769,1018.68011,1,2,2,2
128.41744,38.02769,1013.04987,1,2,2,2
128.41759,38.02769,1012.46832,1,2,2,0
128.41774,38.02769,1016.88647,1,2,2,0
128.41789,38.02769,1015.86786,1,2,2,0
128.41804,38.02769,1010.25763,1,2,2,2
128.41819,38.02769,1003.52466,1,2,2,2
128.41834,38.02769,998.37238,1,2,2,0
128.41849,38.02769,997.95868,1,2,2,0
128.41864,38.02769,1002.31982,1,2,2,3
128.41879,38.02769,1008.51562,1,2,2,2
128.41894,38.02769,1013.76648,1,2,2,2
128.41909,38.02769,1019.70447,1,2,2,3
128.41924,38.02769,1026.00024,1,2,2,3
128.41939,38.02769,1031.37305,1,2,2,2
128.42225,38.02769,1122.40381,1,3,2,2
128.4224,38.02769,1116.8175,1,3,2,3
128.42255,38.02769,1108.64722,1,3,2,3
128.4227,38.02769,1099.52332,1,3,2,3
128.42285,38.02769,1088.01807,1,3,2,4
128.423,38.02769,1075.30212,1,3,2,4
128.42315,38.02769,1066.32031,1,3,2,3
128.4233,38.02769,1059.2677,1,3,2,2
128.42345,38.02769,1054.83972,1,3,2,0
128.4236,38.02769,1054.42529,1,3,2,0
128.42375,38.02769,1057.7323,1,3,2,1
128.4239,38.02769,1061.04285,1,3,2,1
128.42405,38.02769,1057.59521,1,3,2,1
128.42751,38.02769,1061.39844,1,3,2,2
128.42766,38.02769,1067.401,1,3,2,2
128.42781,38.02769,1073.36255,1,3,2,2
128.42796,38.02769,1080.93823,1,3,2,2
128.42811,38.02769,1085.6333,1,3,2,2
128.42826,38.02769,1084.97925,1,3,2,0
128.42841,38.02769,1084.14258,1,3,2,0
128.42856,38.02769,1085.10681,1,3,2,0
128.42871,38.02769,1085.96924,1,3,2,0
128.42886,38.02769,1085.0929,1,3,2,0
128.44028,38.02769,1110.66199,1,3,2,2
128.44043,38.02769,1105.92273,1,3,2,2
128.44058,38.02769,1101.97449,1,3,2,2
128.44073,38.02769,1098.448,1,3,2,2
128.44088,38.02769,1094.84888,1,3,2,2
128.44103,38.02769,1090.15698,1,3,2,3
128.44118,38.02769,1083.71741,1,3,2,3
128.44133,38.02769,1075.87402,1,3,2,3
128.44148,38.02769,1067.64087,1,3,2,3
128.44463,38.02769,974.39056,1,2,2,1
128.44478,38.02769,970.93817,1,2,2,2
128.44493,38.02769,966.28162,1,2,2,2
128.44508,38.02769,960.72693,1,2,2,2
128.44523,38.02769,955.84357,1,2,2,2
128.44539,38.02769,951.30493,1,2,2,2
128.44554,38.02769,947.68433,1,2,2,2
128.44569,38.02769,944.62402,1,2,2,1
128.44584,38.02769,942.07428,1,2,2,1
128.44929,38.02769,872.31616,1,3,2,2
128.44944,38.02769,868.29333,1,3,2,0
128.44959,38.02769,867.45868,1,3,2,0
128.44974,38.02769,868.00232,1,3,2,0
128.44989,38.02769,868.20258,1,3,2,0
128.45004,38.02769,867.16968,1,3,2,1
128.45019,38.02769,865.05182,1,3,2,1
128.45034,38.02769,861.23114,1,3,2,0
128.45049,38.02769,862.41547,1,3,2,2
128.45064,38.02769,867.71973,1,3,2,2
128.45155,38.02769,899.86896,1,3,2,0
128.4517,38.02769,899.88983,1,3,2,0
128.45185,38.02769,901.64844,1,3,2,2
128.452,38.02769,906.11334,1,3,2,2
128.45215,38.02769,911.7439,1,3,2,2
128.4523,38.02769,917.69299,1,3,2,3
128.45245,38.02769,924.10205,1,3,2,3
128.4526,38.02769,931.16687,1,3,2,3
128.45275,38.02769,939.13715,1,3,2,3
128.4529,38.02769,947.44586,1,3,2,3
128.45305,38.02769,954.39984,1,3,2,3
128.4532,38.02769,959.69983,1,3,2,2
128.45335,38.02769,963.9129,1,3,2,2
128.4535,38.02769,966.07764,1,3,2,1
128.4556,38.02769,940.80212,1,3,2,3
128.45575,38.02769,933.55255,1,3,2,3
128.4559,38.02769,929.62268,1,3,2,0
128.45605,38.02769,929.08252,1,3,2,0
128.4562,38.02769,931.20062,1,3,2,2
128.45635,38.02769,935.42627,1,3,2,2
128.4565,38.02769,939.04932,1,3,2,0
128.45665,38.02769,937.591,1,3,2,2
128.4568,38.02769,933.30426,1,3,2,2
128.45695,38.02769,926.84326,1,3,2,3
128.4571,38.02769,919.84076,1,3,2,3
128.45725,38.02769,913.04102,1,3,2,3
128.4574,38.02769,906.32587,1,3,2,3
128.45755,38.02769,899.24573,1,3,2,3
128.45771,38.02769,891.28369,1,3,2,3
128.46311,38.02769,835.84814,1,3,2,2
128.46326,38.02769,832.17261,1,3,2,2
128.46341,38.02769,825.31384,1,3,2,2
128.46356,38.02769,819.53778,1,3,2,2
128.46371,38.02769,815.50348,1,3,2,2
128.46386,38.02769,813.04767,1,3,2,1
128.46402,38.02769,813.13251,1,3,2,0
128.46417,38.02769,811.53613,1,3,2,0
128.46432,38.02769,807.31433,1,3,2,2
128.46447,38.02769,803.69067,1,3,2,1
128.46462,38.02769,801.88843,1,3,2,0
128.46477,38.02769,800.98413,1,3,2,0
128.46492,38.02769,801.41223,1,3,2,2
128.46507,38.02769,805.27417,1,3,2,1
128.46522,38.02769,807.67517,1,3,2,1
128.46537,38.02769,806.65942,1,3,2,1
128.46552,38.02769,804.53381,1,2,2,1
128.46567,38.02769,801.69843,1,2,2,1
128.46582,38.02769,798.17603,1,2,2,2
128.46597,38.02769,793.31415,1,2,2,2
128.46612,38.02769,785.5799,1,2,2,3
128.46627,38.02769,773.93884,1,2,2,4
128.46642,38.02769,760.77069,1,2,2,4
128.46657,38.02769,753.35065,1,2,2,3
128.46747,38.02769,775.56689,1,3,2,1
128.46762,38.02769,778.52515,1,3,2,1
128.46777,38.02769,781.13959,1,3,2,1
128.46792,38.02769,783.78168,1,3,2,1
128.46807,38.02769,789.46112,1,3,2,3
128.46822,38.02769,797.31183,1,3,2,2
128.46837,38.02769,801.36865,1,3,2,2
128.46852,38.02769,797.71307,1,2,2,3
128.46867,38.02769,787.72412,1,2,2,3
128.46882,38.02769,777.15192,1,2,2,3
128.46897,38.02769,772.45795,1,2,2,1
128.46912,38.02769,774.7547,1,2,2,1
128.46927,38.02769,780.11731,1,2,2,2
128.46942,38.02769,780.56653,1,2,2,2
128.46957,38.02769,776.50659,1,2,2,3
128.46972,38.02769,769.69696,1,2,2,3
128.46987,38.02769,762.85217,1,2,2,3
128.27997,38.02754,453.39633,1,3,2,2
128.28012,38.02754,451.02884,1,3,2,1
128.28027,38.02754,448.34338,1,3,2,2
128.28042,38.02754,442.78287,1,3,2,2
128.28057,38.02754,435.98593,1,3,2,3
128.28072,38.02754,427.73431,1,3,2,3
128.28087,38.02754,418.62531,1,3,2,3
128.28102,38.02754,410.28955,1,3,2,3
128.28117,38.02754,402.9183,1,3,2,3
128.28132,38.02754,396.07425,1,3,2,3
128.28147,38.02754,389.78525,1,3,2,2
128.28162,38.02754,385.22229,1,3,2,2
128.28177,38.02754,384.33282,1,3,2,0
128.28192,38.02754,387.92728,1,3,2,3
128.28207,38.02754,394.74631,1,3,2,3
128.28222,38.02754,402.98404,1,3,2,3
128.28237,38.02754,413.27673,1,3,2,3
128.28252,38.02754,423.40036,1,3,2,3
128.28267,38.02754,431.71506,1,3,2,3
128.28282,38.02754,438.51724,1,3,2,3
128.28297,38.02754,445.35587,1,3,2,3
128.28312,38.02754,452.728,1,3,2,3
128.28327,38.02754,461.71915,1,3,2,3
128.28342,38.02754,475.05295,1,3,2,4
128.28358,38.02754,485.71594,1,3,2,1
128.28373,38.02754,488.08609,1,3,2,1
128.28388,38.02754,483.76462,1,3,2,3
128.28403,38.02754,477.39505,1,3,2,2
128.28418,38.02754,471.60345,1,3,2,2
128.28433,38.02754,465.13589,1,3,2,3
128.28448,38.02754,455.50308,1,3,2,3
128.28463,38.02754,446.48636,1,3,2,3
128.28478,38.02754,438.2887,1,3,2,3
128.28493,38.02754,430.07193,1,3,2,3
128.28508,38.02754,422.21609,1,3,2,3
128.28523,38.02754,415.39209,1,3,2,2
128.28538,38.02754,409.27386,1,3,2,3
128.28553,38.02754,402.32861,1,3,2,3
128.28568,38.02754,394.41437,1,3,2,2
128.28583,38.02754,389.39755,1,3,2,2
128.28598,38.02754,387.5011,1,3,2,1
128.28613,38.02754,384.11783,1,3,2,2
128.28628,38.02754,378.45279,1,3,2,3
128.28643,38.02754,371.45309,1,3,2,3
128.28658,38.02754,364.32483,1,3,2,3
128.28913,38.02754,321.55148,0,0,0,1
128.28928,38.02754,319.11487,0,0,0,1
128.28943,38.02754,317.40714,0,0,0,0
128.28958,38.02754,317.09229,0,0,0,1
128.28973,38.02754,318.82578,0,0,0,1
128.28989,38.02754,323.35767,0,0,0,1
128.29004,38.02754,326.55887,0,0,0,0
128.29019,38.02754,326.21951,0,0,0,0
128.29034,38.02754,323.03839,0,0,0,1
128.29049,38.02754,318.06802,1,3,2,3
128.29064,38.02754,311.26068,1,3,2,3
128.29079,38.02754,304.65985,1,3,2,3
128.29094,38.02754,302.14447,1,3,2,0
128.29109,38.02754,301.56573,1,3,2,0
128.29124,38.02754,300.50848,1,3,2,0
128.29259,38.02754,303.50461,1,2,2,0
128.29274,38.02754,305.06403,1,2,2,0
128.29289,38.02754,306.31989,1,2,2,0
128.29304,38.02754,307.47305,1,2,2,0
128.29319,38.02754,308.52176,1,2,2,0
128.29334,38.02754,309.23499,0,0,0,1
128.29349,38.02754,312.67935,0,0,0,1
128.29364,38.02754,316.98044,0,0,0,2
128.29379,38.02754,321.09357,0,0,0,2
128.29394,38.02754,324.95743,0,0,0,2
128.29409,38.02754,328.87082,0,0,0,1
128.29424,38.02754,332.22971,1,2,2,1
128.29439,38.02754,331.29877,1,2,2,0
128.29454,38.02754,327.0961,1,2,2,2
128.29469,38.02754,322.86612,1,2,2,2
128.29484,38.02754,316.90833,1,2,2,2
128.29499,38.02754,308.90479,1,2,2,3
128.29514,38.02754,302.39319,1,2,2,3
128.29529,38.02754,300.0,1,2,2,1
128.29544,38.02754,300.0,1,2,2,0
128.29559,38.02754,300.1041,1,2,2,1
128.29574,38.02754,302.86673,1,2,2,1
128.29725,38.02754,339.89819,1,3,2,3
128.2974,38.02754,332.89484,1,3,2,3
128.29755,38.02754,322.36771,1,3,2,3
128.2977,38.02754,315.61118,1,3,2,3
128.29785,38.02754,315.0,1,3,2,0
128.298,38.02754,315.08658,1,3,2,0
128.29815,38.02754,315.7991,1,3,2,0
128.2983,38.02754,320.57031,1,3,2,3
128.29845,38.02754,329.18176,1,3,2,3
128.2986,38.02754,339.05334,1,3,2,3
128.29875,38.02754,347.46481,1,3,2,2
128.2989,38.02754,351.63889,1,3,2,1
128.29905,38.02754,353.28345,1,3,2,1
128.2992,38.02754,358.9758,1,3,2,3
128.29935,38.02754,369.74927,1,3,2,3
128.2995,38.02754,380.56866,1,3,2,3
128.29965,38.02754,390.69757,1,3,2,1
128.2998,38.02754,394.20566,1,3,2,1
128.29995,38.02754,391.82205,1,3,2,1
128.3001,38.02754,391.23151,1,3,2,0
128.30025,38.02754,397.29718,1,3,2,3
128.3004,38.02754,408.0639,1,3,2,4
128.30055,38.02754,421.20062,1,3,2,4
128.3007,38.02754,433.73215,1,3,2,4
128.30085,38.02754,445.89822,1,3,2,4
128.301,38.02754,456.20642,1,3,2,3
128.30115,38.02754,464.97757,1,3,2,3
128.3013,38.02754,473.18488,1,3,2,3
128.30145,38.02754,480.08594,1,3,2,3
128.3016,38.02754,482.8392,1,3,2,2
128.30175,38.02754,478.61835,1,3,2,2
128.3019,38.02754,469.38129,1,3,2,3
128.30205,38.02754,457.90387,1,2,2,4
128.30221,38.02754,447.09259,1,2,2,3
128.30236,38.02754,437.38419,1,2,2,3
128.30251,38.02754,429.22137,1,2,2,3
128.30266,38.02754,421.88824,1,3,2,3
128.30281,38.02754,414.08591,1,3,2,3
128.30296,38.02754,405.13373,1,3,2,3
128.30311,38.02754,395.23184,1,3,2,3
128.30326,38.02754,387.75424,1,3,2,3
128.30341,38.02754,377.27292,1,3,2,3
128.30356,38.02754,369.01883,1,3,2,0
128.30371,38.02754,367.90857,1,3,2,0
128.30476,38.02754,403.85233,1,2,2,0
128.30491,38.02754,403.65533,1,2,2,2
128.30506,38.02754,400.06396,1,2,2,0
128.30521,38.02754,400.30322,1,2,2,0
128.30536,38.02754,403.11877,1,2,2,2
128.30551,38.02754,398.37738,1,2,2,4
128.30566,38.02754,386.64545,1,2,2,4
128.30581,38.02754,376.55057,1,2,2,0
128.30596,38.02754,377.49631,1,3,2,0
128.30611,38.02754,385.44211,1,3,2,3
128.30626,38.02754,395.67996,1,3,2,3
128.30641,38.02754,405.31396,1,3,2,2
128.30656,38.02754,411.36618,1,3,2,2
128.30671,38.02754,410.33798,1,3,2,1
128.30686,38.02754,407.38483,1,3,2,1
128.30701,38.02754,403.94202,1,3,2,1
128.30716,38.02754,400.80338,1,3,2,2
128.30731,38.02754,396.75565,1,3,2,2
128.30746,38.02754,391.03479,1,3,2,2
128.30761,38.02754,384.89673,1,3,2,2
128.30776,38.02754,380.07156,1,3,2,0
128.30791,38.02754,378.54968,1,3,2,0
128.30806,38.02754,385.48056,1,3,2,4
128.30821,38.02754,397.09509,1,3,2,4
128.30836,38.02754,400.5426,1,3,2,1
128.30852,38.02754,396.34384,1,3,2,2
128.30867,38.02754,390.5282,1,3,2,3
128.30882,38.02754,384.06119,1,3,2,3
128.30897,38.02754,378.4386,1,3,2,2
128.30912,38.02754,376.54123,1,3,2,0
128.30927,38.02754,376.31577,1,3,2,2
128.30942,38.02754,380.01791,1,3,2,2
128.30957,38.02754,385.38876,1,3,2,3
128.30972,38.02754,394.55219,1,3,2,3
128.30987,38.02754,404.0957,1,3,2,3
128.31002,38.02754,413.0036,1,3,2,3
128.31017,38.02754,420.37216,1,3,2,2
128.31032,38.02754,426.02866,1,3,2,2
128.31047,38.02754,431.94601,1,3,2,2
128.31062,38.02754,436.2424,1,3,2,2
128.31077,38.02754,442.0527,1,3,2,2
128.31092,38.02754,448.6413,1,3,2,3
128.31107,38.02754,457.91284,1,3,2,3
128.31122,38.02754,468.47366,1,3,2,3
128.31137,38.02754,478.29797,1,3,2,3
128.31152,38.02754,485.75949,1,3,2,2
128.31167,38.02754,489.32236,1,3,2,2
128.31182,38.02754,486.83701,1,3,2,3
128.31197,38.02754,480.35855,1,3,2,3
128.31212,38.02754,473.11584,1,3,2,3
128.31227,38.02754,468.62427,1,3,2,1
128.31242,38.02754,466.30377,1,3,2,1
128.31257,38.02754,464.27094,1,3,2,1
128.31272,38.02754,461.69296,1,3,2,1
128.31287,38.02754,458.3634,1,3,2,3
