longitude,latitude,elevation,land_type,tree_density,tree_height,slope_deg
128.4568,38.25005,707.24658,0,0,0,1
128.45695,38.25005,705.46558,0,0,0,0
128.4571,38.25005,705.0,0,0,0,0
128.45725,38.25005,705.05322,0,0,0,0
128.4574,38.25005,706.63678,0,0,0,1
128.45755,38.25005,709.86676,2,0,0,1
128.45771,38.25005,708.0481,2,0,0,2
128.45786,38.25005,703.3894,2,0,0,3
128.45801,38.25005,696.79327,2,0,0,3
128.45816,38.25005,689.87372,2,0,0,3
128.45831,38.25005,685.50348,2,0,0,2
128.45981,38.25005,476.32706,2,0,0,0
128.45996,38.25005,476.94672,2,0,0,0
128.46011,38.25005,468.69223,0,0,0,3
128.46026,38.25005,457.93085,0,0,0,3
128.46041,38.25005,447.16943,0,0,0,3
128.46056,38.25005,436.40805,0,0,0,3
128.46071,38.25005,425.64664,0,0,0,3
128.46086,38.25005,414.88525,0,0,0,3
128.46101,38.25005,404.12384,0,0,0,3
128.46251,38.25005,296.50989,0,0,0,3
128.46266,38.25005,285.7485,0,0,0,3
128.46281,38.25005,274.98709,0,0,0,3
128.46296,38.25005,264.22568,0,0,0,3
128.46311,38.25005,253.46431,0,0,0,3
128.46326,38.25005,242.70291,0,0,0,3
128.4882,38.25005,97.19646,2,0,0,1
128.48835,38.25005,95.0,2,0,0,0
128.4885,38.25005,94.86775,2,0,0,0
128.48865,38.25005,94.54305,2,0,0,0
128.37492,38.2499,689.23907,1,3,2,4
128.37507,38.2499,700.18835,1,3,2,3
128.37522,38.2499,709.94629,1,3,1,3
128.37537,38.2499,717.36243,1,3,1,2
128.37552,38.2499,721.84094,1,3,1,2
128.37567,38.2499,726.03656,1,3,1,1
128.37582,38.2499,728.55066,1,3,1,0
128.37597,38.2499,727.21912,1,3,1,0
128.37612,38.2499,724.54285,1,3,1,1
128.37627,38.2499,720.78516,1,3,1,2
128.37642,38.2499,715.64758,1,3,1,2
128.37657,38.2499,710.82782,1,3,1,2
128.37672,38.2499,708.62671,1,3,1,1
128.37688,38.2499,709.22992,1,3,2,0
128.37703,38.2499,709.38391,1,3,2,0
128.37718,38.2499,708.11469,1,3,2,2
128.37733,38.2499,703.69385,1,3,2,2
128.37748,38.2499,698.68842,1,3,2,2
128.37763,38.2499,687.54932,1,3,2,4
128.37778,38.2499,670.55133,1,3,2,4
128.37793,38.2499,688.32318,1,3,2,4
128.37808,38.2499,687.5769,1,3,2,4
128.37823,38.2499,674.96216,1,3,2,3
128.37838,38.2499,667.3161,1,3,2,3
128.37853,38.2499,663.26892,1,3,2,0
128.37868,38.2499,664.47302,1,3,3,2
128.37883,38.2499,668.57562,1,3,3,2
128.37898,38.2499,669.48529,1,3,3,0
128.37913,38.2499,668.83539,1,3,3,0
128.37928,38.2499,669.07263,1,3,3,0
128.37943,38.2499,670.33826,1,3,3,1
128.37958,38.2499,672.27643,1,3,3,1
128.37973,38.2499,674.98364,1,3,3,1
128.37988,38.2499,678.78638,1,3,3,2
128.38003,38.2499,683.62622,1,3,3,2
128.38018,38.2499,688.92529,1,3,3,2
128.38033,38.2499,693.89447,1,3,3,2
128.38048,38.2499,697.84503,1,3,3,0
128.38063,38.2499,698.68329,1,3,2,0
128.38123,38.2499,684.83344,1,3,2,2
128.38138,38.2499,680.22717,1,3,2,2
128.38153,38.2499,676.18671,1,3,2,2
128.38168,38.2499,674.02393,1,3,2,1
128.38183,38.2499,672.89429,1,3,2,1
128.38198,38.2499,669.43591,1,3,2,2
128.38213,38.2499,665.14368,1,3,2,2
128.38228,38.2499,661.28284,1,3,2,1
128.38243,38.2499,658.18353,1,3,2,1
128.38258,38.2499,655.37628,1,3,2,1
128.38273,38.2499,652.55109,1,3,2,1
128.38288,38.2499,649.33521,1,3,2,1
128.38303,38.2499,645.4082,1,3,2,2
128.38319,38.2499,640.37146,1,3,2,2
128.38649,38.2499,541.93298,1,3,3,3
128.38664,38.2499,548.38885,1,3,3,3
128.38679,38.2499,555.16016,1,3,3,3
128.38694,38.2499,562.37305,1,3,3,3
128.38709,38.2499,570.37866,1,3,3,3
128.38724,38.2499,579.40271,1,3,3,3
128.38739,38.2499,588.44,1,3,3,3
128.38754,38.2499,595.61267,1,3,3,3
128.38769,38.2499,600.70892,1,3,3,2
128.38784,38.2499,603.2254,1,3,3,1
128.38799,38.2499,604.98621,1,3,3,1
128.38814,38.2499,606.74219,1,3,3,1
128.38829,38.2499,607.95709,1,3,3,0
128.38844,38.2499,608.34277,1,2,3,0
