longitude,latitude,elevation,land_type,tree_density,tree_height,slope_deg
128.26014,38.2499,759.72546,1,3,2,2
128.26029,38.2499,763.97919,1,3,2,2
128.26044,38.2499,769.00977,1,3,2,2
128.26059,38.2499,774.79199,1,3,2,2
128.26074,38.2499,779.98608,1,3,2,2
128.26089,38.2499,784.39246,1,3,2,2
128.26104,38.2499,786.95392,1,3,2,4
128.26119,38.2499,798.21167,1,3,2,4
128.26134,38.2499,805.56812,1,3,2,3
128.26149,38.2499,811.01453,1,3,2,2
128.26164,38.2499,816.16113,1,3,2,2
128.30581,38.2499,944.34412,1,3,1,4
128.30596,38.2499,959.48853,1,3,1,4
128.30611,38.2499,961.75232,1,3,1,1
128.30626,38.2499,963.2561,1,3,1,0
128.30641,38.2499,964.49939,1,3,1,0
128.30656,38.2499,965.63849,1,3,1,0
128.30671,38.2499,966.42676,1,3,1,0
128.30686,38.2499,966.64502,1,3,1,0
128.30701,38.2499,966.4696,1,3,1,0
128.30716,38.2499,966.41052,1,3,1,0
128.30731,38.2499,965.70221,1,3,1,0
128.30746,38.2499,965.90991,1,3,1,0
128.30761,38.2499,966.87097,1,3,1,0
128.30776,38.2499,967.73395,1,3,1,0
128.30791,38.2499,967.76898,1,3,1,0
128.31182,38.2499,912.25299,1,3,3,0
128.31197,38.2499,912.77863,1,3,3,0
128.31212,38.2499,913.87457,1,3,3,0
128.31227,38.2499,915.95013,1,3,3,2
128.31242,38.2499,919.58215,1,3,3,2
128.31257,38.2499,924.70074,1,3,3,2
128.31272,38.2499,929.10431,1,3,3,0
128.31287,38.2499,929.88959,1,3,3,2
128.31302,38.2499,926.06445,1,3,3,2
128.31317,38.2499,920.57947,1,3,3,0
128.31332,38.2499,920.04559,1,3,3,0
128.31347,38.2499,927.14667,1,3,3,2
128.31362,38.2499,933.09259,1,3,3,2
128.33195,38.2499,662.41486,1,3,2,3
128.3321,38.2499,652.2002,1,3,2,3
128.33225,38.2499,646.0202,1,3,2,3
128.3324,38.2499,645.95618,1,3,2,2
128.33255,38.2499,650.31519,1,3,2,2
128.3327,38.2499,655.40625,1,3,2,2
128.33285,38.2499,659.30579,1,3,2,1
128.333,38.2499,662.06519,1,3,2,1
128.33315,38.2499,663.75995,1,3,2,1
128.33331,38.2499,667.64398,1,3,2,3
128.33346,38.2499,674.69592,1,3,2,3
128.33361,38.2499,683.51996,1,3,2,3
128.33376,38.2499,692.13989,1,3,2,3
128.33391,38.2499,699.60077,1,3,2,3
128.33406,38.2499,706.02118,1,3,2,3
128.33871,38.2499,702.6972,1,2,2,3
128.33886,38.2499,695.07953,1,2,2,2
128.33901,38.2499,690.61304,1,2,2,0
128.33916,38.2499,691.73828,1,2,2,0
128.35043,38.2499,699.492,1,3,3,2
128.35058,38.2499,704.99182,1,3,3,3
128.35073,38.2499,711.66278,1,3,3,3
128.35088,38.2499,718.76282,1,3,1,3
128.35103,38.2499,724.37598,1,3,1,2
128.35118,38.2499,728.56079,1,3,1,2
128.35133,38.2499,732.21259,1,3,1,2
128.35148,38.2499,737.44562,1,3,1,2
128.35163,38.2499,742.0174,1,3,1,0
128.35178,38.2499,742.83521,1,3,1,0
128.35193,38.2499,740.0863,1,3,1,1
128.35209,38.2499,735.07532,1,3,1,3
128.35224,38.2499,726.56488,1,3,1,3
128.35239,38.2499,716.15332,1,3,1,3
128.35599,38.2499,651.02966,1,3,3,0
128.35614,38.2499,650.85614,1,3,3,0
128.35629,38.2499,651.97076,1,3,3,0
128.35644,38.2499,648.8573,1,3,3,1
128.35659,38.2499,646.51294,1,3,3,0
128.35674,38.2499,646.66229,1,3,3,0
128.35689,38.2499,647.97974,1,3,3,0
128.35704,38.2499,649.16119,1,3,3,0
128.35719,38.2499,649.59277,1,3,3,1
128.35734,38.2499,647.74054,1,3,3,1
128.35749,38.2499,643.99835,1,3,3,2
128.35764,38.2499,640.09961,1,3,3,2
128.35779,38.2499,636.91602,1,3,3,1
128.35794,38.2499,634.26904,1,3,3,1
128.35915,38.2499,602.62775,1,3,3,1
128.3593,38.2499,605.12689,1,3,3,1
128.35945,38.2499,605.67365,1,3,3,3
128.3596,38.2499,597.38037,1,3,3,3
128.35975,38.2499,586.13983,1,3,3,4
128.3599,38.2499,577.11871,1,3,3,0
128.36005,38.2499,577.21265,1,3,3,0
128.36065,38.2499,589.55652,1,3,1,3
128.3608,38.2499,580.1048,1,3,1,3
128.36095,38.2499,572.03705,1,3,1,3
128.3611,38.2499,567.01105,1,3,3,2
128.36125,38.2499,562.47119,1,3,3,2
128.3614,38.2499,557.51569,1,3,3,3
128.36155,38.2499,549.88116,1,3,3,3
128.3617,38.2499,539.69348,1,3,3,3
128.36185,38.2499,529.47894,1,3,3,3
128.362,38.2499,521.50403,1,3,3,3
128.36215,38.2499,516.40338,1,3,3,2
128.3623,38.2499,511.58878,1,3,3,2
128.36245,38.2499,505.90616,1,3,3,2
128.3626,38.2499,501.32376,1,3,3,2
128.36275,38.2499,496.31204,1,3,3,3
128.3629,38.2499,489.70328,1,3,3,3
128.36305,38.2499,482.54343,1,3,3,3
128.3632,38.2499,477.31216,1,3,3,1
128.36335,38.2499,474.64301,1,3,3,1
128.3635,38.2499,476.34073,1,3,3,1
128.36365,38.2499,477.43362,1,3,3,1
128.3638,38.2499,475.16132,1,3,3,3
128.36395,38.2499,468.46896,1,3,3,3
128.3641,38.2499,460.15002,1,3,3,2
128.36425,38.2499,454.07455,1,3,3,2
128.36441,38.2499,451.39877,1,3,3,0
128.36456,38.2499,450.0,1,3,3,0
128.37462,38.2499,666.7627,1,3,2,4
128.37477,38.2499,677.94092,1,3,2,4
128.25037,38.24975,780.74249,1,3,2,2
128.25052,38.24975,786.55286,1,3,2,2
128.25067,38.24975,793.29968,1,3,2,3
128.25082,38.24975,800.1084,1,3,2,3
128.25097,38.24975,808.45874,1,3,2,3
128.25112,38.24975,818.48743,1,3,2,3
128.25127,38.24975,829.58661,1,3,2,3
128.25142,38.24975,839.27905,1,3,2,3
128.25157,38.24975,846.98846,1,3,2,3
128.25172,38.24975,854.30621,1,3,2,3
128.25187,38.24975,862.76166,1,3,2,3
128.25202,38.24975,872.15155,1,3,2,3
128.25217,38.24975,880.19867,1,3,2,1
128.25232,38.24975,883.71045,1,3,2,1
128.25248,38.24975,876.13525,1,3,2,3
128.25263,38.24975,868.52167,1,3,2,2
128.25278,38.24975,862.68176,1,3,2,1
128.25293,38.24975,859.56073,1,3,2,1
128.25308,38.24975,858.51379,1,3,2,0
128.25323,38.24975,857.7525,1,3,2,0
128.25999,38.24975,767.61072,1,3,2,1
128.26014,38.24975,770.31982,1,3,2,1
128.26029,38.24975,773.38959,1,3,2,1
128.26044,38.24975,777.724,1,3,2,2
128.26059,38.24975,783.19403,1,3,2,2
128.26074,38.24975,789.12134,1,3,2,2
128.26089,38.24975,794.70221,1,3,2,2
128.26104,38.24975,797.01306,1,3,2,0
128.26119,38.24975,797.0379,1,3,2,0
128.26134,38.24975,799.16589,1,3,2,1
128.26149,38.24975,803.64673,1,3,2,2
128.26164,38.24975,809.18689,1,3,2,2
128.26179,38.24975,814.83783,1,3,2,2
128.26449,38.24975,843.198,2,0,0,3
128.27171,38.24975,1019.22021,1,3,2,3
128.27186,38.24975,1012.62183,1,3,2,3
128.27201,38.24975,1004.79651,1,3,2,3
128.27832,38.24975,823.96393,1,3,2,0
128.27847,38.24975,823.17499,1,3,2,0
128.27862,38.24975,819.54578,1,3,2,2
128.27877,38.24975,813.35797,1,3,2,3
128.27892,38.24975,806.37268,1,3,2,3
128.29484,38.24975,777.77563,1,2,2,3
128.29499,38.24975,787.3551,1,2,2,2
128.29514,38.24975,792.97992,1,2,2,2
128.29529,38.24975,794.2478,1,2,2,0
128.29544,38.24975,793.85114,1,2,2,1
128.29559,38.24975,791.79596,1,2,2,1
128.29574,38.24975,790.57159,1,2,2,0
128.29589,38.24975,793.04279,1,2,2,1
128.29605,38.24975,799.21063,1,2,2,3
128.2962,38.24975,805.87012,1,2,2,3
128.29635,38.24975,814.87646,1,2,2,3
128.2965,38.24975,823.11536,1,2,2,3
128.29665,38.24975,830.01459,1,3,2,3
128.2968,38.24975,836.71857,1,3,2,3
128.29695,38.24975,843.85748,1,3,2,3
128.2971,38.24975,851.67596,1,3,2,3
128.29725,38.24975,859.84302,1,3,2,3
128.2974,38.24975,866.22021,1,3,2,0
128.29755,38.24975,866.49426,1,3,2,0
128.2977,38.24975,865.91656,1,3,2,0
128.29785,38.24975,864.88824,1,3,2,0
128.298,38.24975,863.91925,1,3,2,0
128.29815,38.24975,863.6814,1,3,2,0
128.2983,38.24975,865.82819,1,3,2,3
128.29845,38.24975,872.04547,1,3,2,3
128.2986,38.24975,881.47223,1,3,2,3
128.29875,38.24975,891.77997,1,3,2,3
128.2989,38.24975,898.52545,1,3,2,3
128.29965,38.24975,902.96173,1,3,2,0
128.2998,38.24975,903.77411,1,3,2,0
128.29995,38.24975,909.24707,1,3,2,3
128.3001,38.24975,915.65082,1,3,2,3
128.30025,38.24975,922.29333,1,3,2,3
128.3004,38.24975,929.7912,1,3,2,3
128.30055,38.24975,938.05017,1,3,2,3
128.3007,38.24975,946.80615,1,3,2,3
128.30085,38.24975,955.93048,1,3,2,3
128.301,38.24975,965.15198,1,3,2,3
128.30115,38.24975,973.06183,1,3,2,3
128.3013,38.24975,980.20837,1,3,2,3
128.30145,38.24975,988.27338,1,3,2,3
128.3016,38.24975,996.14819,1,3,2,3
128.30175,38.24975,1002.85309,1,3,2,3
128.30581,38.24975,1041.10156,1,3,1,0
128.30596,38.24975,1040.60693,1,3,1,0
128.30611,38.24975,1038.18176,1,3,1,1
128.30626,38.24975,1035.37378,1,3,1,1
128.30641,38.24975,1032.30505,1,3,1,1
128.30656,38.24975,1030.03101,1,3,1,1
128.30671,38.24975,1028.6814,1,3,1,0
128.30686,38.24975,1027.32556,1,3,1,1
128.30701,38.24975,1025.43152,1,3,1,1
128.30716,38.24975,1024.81531,1,3,1,1
