longitude,latitude,elevation,land_type,tree_density,tree_height,slope_deg
128.43006,38.1249,1209.37134,0,0,0,1
128.43021,38.1249,1207.41736,1,2,2,1
128.43036,38.1249,1200.47644,1,2,2,4
128.43051,38.1249,1188.76282,1,2,2,4
128.43066,38.1249,1176.52075,1,2,2,4
128.43081,38.1249,1163.15503,1,2,2,4
128.43096,38.1249,1143.59656,1,2,2,4
128.43111,38.1249,1124.28186,1,2,2,4
128.43126,38.1249,1109.59644,1,2,2,4
128.43141,38.1249,1098.42297,1,2,2,4
128.43156,38.1249,1088.65833,1,2,2,3
128.43171,38.1249,1079.96326,1,2,2,3
128.43186,38.1249,1073.67566,1,2,2,3
128.43201,38.1249,1070.07104,1,2,2,2
128.43216,38.1249,1071.55139,1,3,2,3
128.43231,38.1249,1079.47681,1,3,2,3
128.43246,38.1249,1087.81799,1,3,2,3
128.43261,38.1249,1095.58972,1,3,2,3
128.43276,38.1249,1103.46301,1,3,2,3
128.43292,38.1249,1111.74402,1,3,2,3
128.43307,38.1249,1119.96912,1,3,2,3
128.43322,38.1249,1127.9458,1,3,2,3
128.43337,38.1249,1136.18506,1,3,2,3
128.43352,38.1249,1143.95544,2,0,0,3
128.43367,38.1249,1151.68396,2,0,0,1
128.43382,38.1249,1154.5592,2,0,0,1
128.43397,38.1249,1151.88062,2,0,0,1
128.43412,38.1249,1148.38293,2,0,0,0
128.43427,38.1249,1148.76404,2,0,0,0
128.43442,38.1249,1151.49084,2,0,0,1
128.43457,38.1249,1156.55627,2,0,0,3
128.43472,38.1249,1164.90942,1,3,2,3
128.43487,38.1249,1173.68262,1,3,2,3
128.43502,38.1249,1182.18237,1,3,2,3
128.43517,38.1249,1190.90601,1,3,2,3
128.43532,38.1249,1199.99463,1,3,2,3
128.43547,38.1249,1209.1842,1,3,2,3
128.43562,38.1249,1218.48291,1,3,2,3
128.43577,38.1249,1228.15417,0,0,0,3
128.43592,38.1249,1243.98425,0,0,0,4
128.43607,38.1249,1255.34375,0,0,0,3
128.43622,38.1249,1264.60889,0,0,0,3
128.43637,38.1249,1271.63379,0,0,0,0
128.43652,38.1249,1272.02271,0,0,0,0
128.43667,38.1249,1264.90503,0,0,0,3
128.43682,38.1249,1255.69666,0,0,0,3
128.43697,38.1249,1245.02039,0,0,0,3
128.43712,38.1249,1234.81909,0,0,0,3
128.43727,38.1249,1228.05627,2,0,0,3
128.43938,38.1249,1116.59473,1,2,2,3
128.43953,38.1249,1110.11865,1,2,2,3
128.43968,38.1249,1107.67493,1,2,2,2
128.43983,38.1249,1113.0083,1,2,2,3
128.43998,38.1249,1121.57544,1,2,2,3
128.44013,38.1249,1127.71912,1,2,2,0
128.44028,38.1249,1127.90625,1,2,2,0
128.44043,38.1249,1123.5979,1,2,2,2
128.44058,38.1249,1121.93201,1,2,2,3
128.44073,38.1249,1130.74146,1,2,2,3
128.44088,38.1249,1138.0907,1,2,2,3
128.44103,38.1249,1148.06482,1,2,2,3
128.44118,38.1249,1158.92297,1,2,2,3
128.44268,38.1249,1116.81543,1,2,2,3
128.44283,38.1249,1109.12732,1,2,2,3
128.44298,38.1249,1108.4198,1,2,2,3
128.44313,38.1249,1118.21204,1,2,2,3
128.44328,38.1249,1130.24658,1,2,2,4
128.44343,38.1249,1142.35083,1,2,2,4
128.44358,38.1249,1159.75366,1,2,2,4
128.44373,38.1249,1176.81299,1,2,2,4
128.44418,38.1249,1158.41553,2,0,0,3
128.44433,38.1249,1148.89917,2,0,0,3
128.44448,38.1249,1139.50586,2,0,0,3
128.44463,38.1249,1129.10034,2,0,0,3
128.44478,38.1249,1118.31982,0,0,0,3
128.44493,38.1249,1109.07068,0,0,0,3
