longitude,latitude,elevation,land_type,tree_density,tree_height,slope_deg
128.25022,38.1249,593.63239,1,3,2,2
128.25037,38.1249,599.1084,1,3,2,2
128.25052,38.1249,598.4201,1,3,2,0
128.25067,38.1249,591.38342,1,3,2,4
128.25082,38.1249,579.40082,1,3,2,4
128.25097,38.1249,561.85223,1,3,2,4
128.25112,38.1249,547.76062,1,3,2,4
128.25127,38.1249,537.95966,1,3,2,3
128.25142,38.1249,529.06134,1,3,2,3
128.25157,38.1249,521.60828,1,3,2,3
128.25232,38.1249,486.58411,1,3,2,3
128.25248,38.1249,478.56735,1,3,2,3
128.25263,38.1249,469.8588,1,3,2,3
128.25278,38.1249,460.53491,1,3,2,3
128.25293,38.1249,451.89478,1,3,2,3
128.25308,38.1249,443.5921,1,3,2,3
128.25323,38.1249,436.44348,1,3,2,3
128.25338,38.1249,428.9003,1,3,2,3
128.25353,38.1249,419.43463,1,3,2,4
128.25368,38.1249,407.87817,1,3,2,4
128.25383,38.1249,394.8172,1,3,2,4
128.25398,38.1249,382.17987,1,3,2,3
128.25413,38.1249,374.36548,1,3,2,3
128.25428,38.1249,372.96655,1,3,2,0
128.25443,38.1249,374.73001,1,3,2,1
128.25458,38.1249,377.42142,1,3,2,1
128.25473,38.1249,380.75287,1,3,2,1
128.25488,38.1249,384.56815,1,3,2,2
128.25503,38.1249,388.90338,1,3,2,2
128.25518,38.1249,393.80688,1,3,2,2
128.25533,38.1249,399.0094,1,3,2,2
128.25548,38.1249,404.14603,1,3,2,1
128.25563,38.1249,405.89005,1,2,2,3
128.25578,38.1249,399.18585,1,2,2,3
128.25593,38.1249,389.30023,1,2,2,3
128.25608,38.1249,379.16373,1,2,2,3
128.25623,38.1249,370.67435,1,2,2,3
128.25638,38.1249,363.49985,1,2,2,3
128.25653,38.1249,355.36014,1,2,2,3
128.25668,38.1249,350.23154,1,2,2,2
128.25683,38.1249,347.59409,1,2,2,1
128.25698,38.1249,345.85532,1,2,2,1
128.25713,38.1249,345.21945,1,2,2,0
128.25728,38.1249,345.41254,1,2,2,0
128.25743,38.1249,346.71054,1,3,2,0
128.25758,38.1249,348.74213,1,3,2,1
128.25773,38.1249,350.0,1,3,2,0
128.25788,38.1249,350.02274,1,3,2,0
128.25803,38.1249,350.71512,1,3,2,0
128.25818,38.1249,352.98843,1,3,2,1
128.25833,38.1249,355.06946,1,3,2,0
128.25848,38.1249,356.59363,1,3,2,0
128.25863,38.1249,358.29599,1,3,2,1
128.25879,38.1249,360.73013,1,3,2,1
128.25894,38.1249,363.08365,1,3,2,1
128.25909,38.1249,363.10233,1,3,2,0
128.25924,38.1249,363.92343,1,3,2,0
128.25939,38.1249,364.75574,1,3,2,0
128.25954,38.1249,367.90656,1,3,2,1
128.25984,38.1249,383.45084,1,3,2,4
128.25999,38.1249,394.97626,1,3,2,4
128.26014,38.1249,410.00595,1,3,2,4
