STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,Longitude,Latitude
1,2,2,30,2,4,C,10,J12230,NEB-24C,2024,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 9m 이상 11m미만,12564.9297723,301772.535111,128.25119209546972,38.24707625523798
1,2,2,34,2,6,C,14,J12234,NQQ-26C,2024,,활엽수림,기타참나무류,중경목,6영급,밀,임분고 13m 이상 15m미만,9808.66962438,274218.78148,128.25399684400105,38.24750997543204
1,2,2,30,2,4,C,14,J12230,NEB-24C,2024,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,6566.3958661,216705.791436,128.2513497766608,38.24958038529475
1,2,1,11,2,5,C,12,J12111,NPD-25C,2024,,침엽수림,소나무,중경목,5영급,밀,임분고 11m 이상 13m미만,1168.92240381,12404.7626431,128.25004112330961,38.248640735842876
1,2,1,11,2,6,B,10,J12111,NPD-26B,2025,,침엽수림,소나무,중경목,6영급,중,임분고 9m 이상 11m미만,348.589778954,7149.96558938,128.2542172636422,38.22995975103141
1,2,1,11,2,6,C,12,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 11m 이상 13m미만,753.082793157,21091.6708778,128.25744307348995,38.23202705260868
1,2,1,11,2,6,C,16,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 15m 이상 17m미만,898.547100019,16845.0078995,128.25917867376327,38.23720288555455
1,2,1,11,2,6,C,12,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 11m 이상 13m미만,566.983254156,8979.34278829,128.25799614536606,38.23858313467927
1,2,1,11,2,6,C,14,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 13m 이상 15m미만,1009.33198561,17803.8216148,128.25428170102575,38.23831465876748
1,2,1,11,2,6,C,16,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 15m 이상 17m미만,927.109067336,24369.5597786,128.25677208841714,38.24079394457321
1,2,1,11,2,7,C,10,J12111,NPD-27C,2019,,침엽수림,소나무,중경목,7영급,밀,임분고 9m 이상 11m미만,456.02749372,7462.73497662,128.25901802343017,38.22574517842052
1,2,1,11,2,7,C,10,J12111,NPD-27C,2019,,침엽수림,소나무,중경목,7영급,밀,임분고 9m 이상 11m미만,395.781748869,6981.63313132,128.25775406280596,38.22720697553703
1,2,1,11,2,7,C,12,J12111,NPD-27C,2019,,침엽수림,소나무,중경목,7영급,밀,임분고 11m 이상 13m미만,671.694298762,19273.7954656,128.25335814737824,38.23136264656301
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,1615.73671667,40461.0075332,128.25155916961515,38.239371582736474
1,2,2,30,2,5,C,10,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 9m 이상 11m미만,2538.63762618,76287.0473417,128.25547973997377,38.231964944375434
1,2,2,30,2,5,C,12,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 11m 이상 13m미만,5067.13338369,166176.04839,128.25893579561802,38.23522491698471
1,2,2,30,2,5,C,14,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,1188.71271529,25620.5661591,128.25476878214454,38.238520349162414
1,2,2,30,2,5,C,14,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,3199.76812755,73185.22972,128.25941024387274,38.23987599883971
1,2,2,30,2,5,C,14,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,2295.66379637,52498.9308725,128.256219486453,38.239806932516295
1,2,2,30,2,5,C,12,J12230,NEB-25C,2025,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 11m 이상 13m미만,10562.5566299,505801.924893,128.25329090635816,38.227970853391305
1,2,2,30,2,5,C,12,J12230,NEB-25C,2024,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 11m 이상 13m미만,8272.05735937,248061.520643,128.2517184357755,38.23544673424647
1,2,2,32,1,5,C,14,J12232,NQM-15C,2024,,활엽수림,신갈나무,소경목,5영급,밀,임분고 13m 이상 15m미만,3194.40759051,61059.3966932,128.25000055961328,38.23493861479812
1,2,2,32,2,5,C,14,J12232,NQM-25C,2019,,활엽수림,신갈나무,중경목,5영급,밀,임분고 13m 이상 15m미만,1421.41847336,38067.9372459,128.25391651439503,38.226763510939755
1,2,2,32,2,5,C,12,J12232,NQM-25C,2019,,활엽수림,신갈나무,중경목,5영급,밀,임분고 11m 이상 13m미만,1056.94999904,54245.6868877,128.25193183348082,38.229923518943465
1,2,2,32,2,5,C,12,J12232,NQM-25C,2019,,활엽수림,신갈나무,중경목,5영급,밀,임분고 11m 이상 13m미만,4379.56455142,113757.878159,128.25251060077025,38.23402930627337
1,2,2,32,2,5,C,14,J12232,NQM-25C,2019,,활엽수림,신갈나무,중경목,5영급,밀,임분고 13m 이상 15m미만,1583.70295542,45071.0075586,128.25115963139513,38.237387800120224
1,2,2,32,2,5,C,14,J12232,NQM-25C,2019,,활엽수림,신갈나무,중경목,5영급,밀,임분고 13m 이상 15m미만,7118.63204969,272581.827228,128.26321328470954,38.23506938642418
1,2,2,32,2,5,C,12,J12232,NQM-25C,2024,,활엽수림,신갈나무,중경목,5영급,밀,임분고 11m 이상 13m미만,2350.81083776,101984.681595,128.25005786501788,38.23067457491879
1,2,2,33,2,6,C,14,J12233,NQV-26C,2021,,활엽수림,굴참나무,중경목,6영급,밀,임분고 13m 이상 15m미만,732.023275301,17558.3014055,128.2642638048018,38.235948915966425
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,3727.48280788,132968.19688,128.25669652102945,38.22532225320597
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,2444.1478875,81651.6567544,128.25195803456188,38.22699172125525
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,1721.38674576,61608.3069487,128.2623330864585,38.22970461509762
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2025,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,5189.54566294,214050.692878,128.2664557468219,38.227624039420576
1,2,2,34,2,5,C,12,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 11m 이상 13m미만,5940.06478188,267142.940449,128.25775065918256,38.229808003704015
1,2,2,34,2,5,C,12,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 11m 이상 13m미만,2560.41528434,56253.2209318,128.2512712523626,38.24014558587274
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,13728.7265249,438352.975159,128.2585512200877,38.24072211819862
1,2,2,34,2,6,C,14,J12234,NQQ-26C,2025,,활엽수림,기타참나무류,중경목,6영급,밀,임분고 13m 이상 15m미만,1207.84468694,41835.0812692,128.26337757217158,38.24069907242714
1,2,3,77,2,5,C,14,J12377,NMM-25C,2019,,혼효림,침활혼효림,중경목,5영급,밀,임분고 13m 이상 15m미만,472.304069659,15034.8799681,128.26614976441473,38.234657026245934
1,2,3,77,2,5,C,16,J12377,NMM-25C,,,혼효림,침활혼효림,중경목,5영급,밀,임분고 15m 이상 17m미만,1293.80697527,30126.6005613,128.25317577999581,38.23839787084286
1,2,3,77,2,6,C,10,J12377,NMM-26C,2019,,혼효림,침활혼효림,중경목,6영급,밀,임분고 9m 이상 11m미만,792.004411053,12871.3383037,128.2532985603146,38.225065867608514
1,2,3,77,2,6,C,12,J12377,NMM-26C,2019,,혼효림,침활혼효림,중경목,6영급,밀,임분고 11m 이상 13m미만,461.181436577,12696.6653386,128.26723209802424,38.23757430274117
1,2,3,77,2,6,C,14,J12377,NMM-26C,2019,,혼효림,침활혼효림,중경목,6영급,밀,임분고 13m 이상 15m미만,711.866668756,12915.116584,128.25522501840462,38.239400958973285
1,2,3,77,3,6,C,14,J12377,NMM-36C,,,혼효림,침활혼효림,대경목,6영급,밀,임분고 13m 이상 15m미만,1044.55217854,21633.0827302,128.25177934929525,38.24013593241744
1,2,2,30,2,6,C,14,J12230,NEB-26C,2019,,활엽수림,기타활엽수,중경목,6영급,밀,임분고 13m 이상 15m미만,5411.33862431,226106.919239,128.27442142676648,38.23381055459359
1,2,2,32,2,5,C,12,J12232,NQM-25C,2019,,활엽수림,신갈나무,중경목,5영급,밀,임분고 11m 이상 13m미만,8403.25291752,338104.963047,128.27425308923694,38.238547069926135
1,2,2,30,2,5,C,14,J12230,NEB-25C,2025,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,10855.6244698,458850.018057,128.26210459956354,38.22816551857824
1,2,2,30,2,6,C,14,J12230,NEB-26C,2024,,활엽수림,기타활엽수,중경목,6영급,밀,임분고 13m 이상 15m미만,3516.11710838,251759.002649,128.27151151120637,38.22546163965762
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,6279.18177158,306958.181488,128.2663714691757,38.225361971717
1,2,2,30,2,5,B,12,J12230,NEB-25B,2025,,활엽수림,기타활엽수,중경목,5영급,중,임분고 11m 이상 13m미만,7014.64348876,214852.104976,128.26742153321698,38.22957952211918
1,2,2,30,2,5,C,14,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,4495.32013869,182349.327439,128.27161674956744,38.23847225684668
1,2,2,30,2,5,C,14,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,7493.96102334,247781.563109,128.26818247413942,38.24074650671818
1,2,2,30,2,6,C,14,J12230,NEB-26C,2019,,활엽수림,기타활엽수,중경목,6영급,밀,임분고 13m 이상 15m미만,3595.31131487,229765.412047,128.27285499305663,38.22799829153497
1,2,2,30,2,6,C,12,J12230,NEB-26C,2019,,활엽수림,기타활엽수,중경목,6영급,밀,임분고 11m 이상 13m미만,2622.01246502,116909.761767,128.2723415135354,38.231202736594106
1,2,2,30,3,6,C,12,J12230,NEB-36C,2024,,활엽수림,기타활엽수,대경목,6영급,밀,임분고 11m 이상 13m미만,3641.40826563,131902.168866,128.27076395148697,38.23423302853827
1,2,2,34,2,4,C,14,J12234,NQQ-24C,2019,,활엽수림,기타참나무류,중경목,4영급,밀,임분고 13m 이상 15m미만,6016.63949775,350054.21347,128.27301671097445,38.23231022612601
1,2,2,34,2,5,C,12,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 11m 이상 13m미만,7424.45263489,325944.193485,128.27067394015532,38.22958264072195
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,3705.80921897,150244.825803,128.27038983003237,38.23566683900132
1,2,2,34,2,6,C,14,J12234,NQQ-26C,,,활엽수림,기타참나무류,중경목,6영급,밀,임분고 13m 이상 15m미만,1058.11260755,33735.6950731,128.27181210340726,38.23851186564505
1,2,2,34,2,6,C,12,J12234,NQQ-26C,,,활엽수림,기타참나무류,중경목,6영급,밀,임분고 11m 이상 13m미만,2300.55079049,97970.8264012,128.269797912576,38.23998701874296
1,2,1,11,2,5,C,16,J12111,NPD-25C,2019,,침엽수림,소나무,중경목,5영급,밀,임분고 15m 이상 17m미만,1271.29066196,15980.0104,128.25146723247204,38.24458525986519
1,2,1,11,2,5,C,14,J12111,NPD-25C,2024,,침엽수림,소나무,중경목,5영급,밀,임분고 13m 이상 15m미만,559.313382301,5777.61247114,128.25021223199138,38.24664107967023
1,2,1,11,2,6,C,12,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 11m 이상 13m미만,973.126744683,18316.8619713,128.254205295222,38.24129334058341
1,2,1,11,2,6,C,16,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 15m 이상 17m미만,717.887151045,13582.3268958,128.25816162091743,38.242441590821485
1,2,1,11,2,6,C,10,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 9m 이상 11m미만,559.297808278,8154.92371986,128.25469247594378,38.245517901747824
1,2,1,11,2,6,C,14,J12111,NPD-26C,2019,,침엽수림,소나무,중경목,6영급,밀,임분고 13m 이상 15m미만,678.346914344,7130.34893987,128.251605390883,38.24642825139579
1,2,1,11,3,9,C,12,J12111,NPD-39C,2019,,침엽수림,소나무,대경목,9영급,밀,임분고 11m 이상 13m미만,478.773032306,7319.83661246,128.25124149776767,38.24907715177167
1,2,2,30,2,4,C,12,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 11m 이상 13m미만,2494.3647873,59543.0350945,128.25486008441058,38.2483818115279
1,2,2,30,2,4,C,14,J12230,NEB-24C,2024,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,5158.05098377,119970.527609,128.25232983089185,38.24244843528402
1,2,2,30,2,4,C,12,J12230,NEB-24C,2024,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 11m 이상 13m미만,10817.1184997,403930.480922,128.26050381199548,38.24655527519156
1,2,2,30,2,5,C,16,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 15m 이상 17m미만,830.311088621,13851.5148511,128.2507883700292,38.2424653405722
1,2,2,30,2,5,C,14,J12230,NEB-25C,2025,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,4674.48629813,122910.260125,128.2632352899855,38.2416596594854
1,2,2,30,2,5,C,14,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,863.944216073,15559.7414436,128.2512831808669,38.244169232438054
1,2,2,34,2,5,C,12,J12234,NQQ-25C,,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 11m 이상 13m미만,1451.92011415,21517.9048626,128.25056393681305,38.24483381535037
1,2,2,34,2,5,C,14,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 13m 이상 15m미만,742.914011212,18930.3033186,128.26723654932974,38.24752567991963
1,2,2,34,2,5,C,12,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 11m 이상 13m미만,704.201702678,14458.4779232,128.25222173229466,38.249795073527636
1,2,2,34,2,6,C,10,J12234,NQQ-26C,,,활엽수림,기타참나무류,중경목,6영급,밀,임분고 9m 이상 11m미만,1750.51527076,57979.1139654,128.26098640479321,38.247014262880924
1,2,2,34,2,6,C,10,J12234,NQQ-26C,,,활엽수림,기타참나무류,중경목,6영급,밀,임분고 9m 이상 11m미만,3265.07615605,113504.880293,128.2608375527929,38.249266999500485
1,2,3,77,2,5,C,16,J12377,NMM-25C,2019,,혼효림,침활혼효림,중경목,5영급,밀,임분고 15m 이상 17m미만,1987.14975891,42723.3202553,128.25237836399302,38.242251776470326
1,2,3,77,2,5,C,12,J12377,NMM-25C,,,혼효림,침활혼효림,중경목,5영급,밀,임분고 11m 이상 13m미만,910.742330355,10671.1973592,128.25031769680925,38.24496106370306
1,2,3,77,2,6,C,12,J12377,NMM-26C,2021,,혼효림,침활혼효림,중경목,6영급,밀,임분고 11m 이상 13m미만,876.888601455,16688.4040197,128.26541381336523,38.241546679002155
1,2,3,77,2,6,C,16,J12377,NMM-26C,2019,,혼효림,침활혼효림,중경목,6영급,밀,임분고 15m 이상 17m미만,913.778950741,35448.1694847,128.2540700589888,38.2446716946844
1,2,3,77,2,6,C,12,J12377,NMM-26C,2019,,혼효림,침활혼효림,중경목,6영급,밀,임분고 11m 이상 13m미만,1675.35113173,72238.6480539,128.2644182879231,38.24791335865821
1,2,2,30,2,5,C,12,J12230,NEB-25C,2025,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 11m 이상 13m미만,3181.4990979,77633.5683944,128.27380221218564,38.248156734124166
1,2,2,30,2,5,C,20,J12230,NEB-25C,2025,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 19m 이상 21m미만,6276.60611971,204488.668061,128.27370189096334,38.24508236326434
1,2,2,30,2,7,C,12,J12230,NEB-27C,,,활엽수림,기타활엽수,중경목,7영급,밀,임분고 11m 이상 13m미만,596.909179487,18966.1593624,128.27186380820604,38.24887745927819
1,2,2,34,2,5,C,26,J12234,NQQ-25C,2019,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 25m 이상 27m미만,2457.5280761,123527.385929,128.27426058834527,38.24374995508466
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,2297.91239392,119212.569592,128.26704814565247,38.24860597875992
1,2,2,32,2,5,C,32,J12232,NQM-25C,2025,,활엽수림,신갈나무,중경목,5영급,밀,임분고 31m 이상 33m미만,8623.51784906,324942.820596,128.2696564400263,38.24430849441032
1,2,2,34,2,7,C,12,J12234,NQQ-27C,2025,,활엽수림,기타참나무류,중경목,7영급,밀,임분고 11m 이상 13m미만,12136.5891391,418821.097204,128.27139957454884,38.2485795579652
1,1,1,16,2,7,B,12,J11116,AAH-27B,2025,,침엽수림,전나무,중경목,7영급,중,임분고 11m 이상 13m미만,575.183051356,12063.389894,128.2824688076437,38.22634262482381
1,1,1,16,2,7,B,14,J11116,AAH-27B,2025,,침엽수림,전나무,중경목,7영급,중,임분고 13m 이상 15m미만,850.708570809,30984.9897761,128.28527445914162,38.227120680045665
1,1,1,16,3,7,B,10,J11116,AAH-37B,2025,,침엽수림,전나무,대경목,7영급,중,임분고 9m 이상 11m미만,683.542166304,23442.5945816,128.293641417262,38.230908530024934
1,1,1,16,3,7,B,14,J11116,AAH-37B,2025,,침엽수림,전나무,대경목,7영급,중,임분고 13m 이상 15m미만,458.485921245,9810.80704001,128.28729507957178,38.23203393224263
1,2,2,30,2,5,C,12,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 11m 이상 13m미만,817.294324244,25333.7047118,128.2943782444126,38.22600703676225
1,2,2,30,2,6,C,14,J12230,NEB-26C,2019,,활엽수림,기타활엽수,중경목,6영급,밀,임분고 13m 이상 15m미만,5411.33862431,226106.919239,128.27884946129103,38.235427159643244
1,2,2,30,2,7,C,12,J12230,NEB-27C,2019,,활엽수림,기타활엽수,중경목,7영급,밀,임분고 11m 이상 13m미만,1133.28502079,27466.5808346,128.29531683396385,38.22508940402148
1,2,2,30,2,7,C,10,J12230,NEB-27C,2025,,활엽수림,기타활엽수,중경목,7영급,밀,임분고 9m 이상 11m미만,9186.53614476,330652.248943,128.29386056778444,38.23464728328967
1,2,2,30,2,7,C,12,J12230,NEB-27C,2024,,활엽수림,기타활엽수,중경목,7영급,밀,임분고 11m 이상 13m미만,1551.82038551,46331.5098119,128.2810051665388,38.225343437407886
1,2,2,32,2,5,C,12,J12232,NQM-25C,2019,,활엽수림,신갈나무,중경목,5영급,밀,임분고 11m 이상 13m미만,8403.25291752,338104.963047,128.28112622544117,38.236621450953315
1,2,2,32,2,6,C,12,J12232,NQM-26C,2024,,활엽수림,신갈나무,중경목,6영급,밀,임분고 11m 이상 13m미만,5966.60191205,273984.392269,128.2810543883884,38.228742853364295
1,2,2,34,2,4,C,10,J12234,NQQ-24C,2019,,활엽수림,기타참나무류,중경목,4영급,밀,임분고 9m 이상 11m미만,3966.71309338,207779.916359,128.2931256669593,38.23183841280612
